[1, u'fr', 14, 30, 15, 20, u'BSB 119']
[2, u'tu', 9, 30, 10, 20, u'CNH B107']
[2, u'we', 9, 30, 10, 20, u'CNH B107']
[2, u'fr', 9, 30, 10, 20, u'CNH B107']
[1, u'mo', 12, 30, 13, 20, u'BSB 120']
[1, u'tu', 13, 30, 14, 20, u'BSB 120']
[1, u'th', 12, 30, 13, 20, u'BSB 120']
[1, u'tu', 14, 30, 15, 20, u'TSH B106']
[1, u'th', 14, 30, 15, 20, u'TSH B106']
[1, u'fr', 14, 30, 15, 20, u'TSH B106']
[2, u'mo', 10, 30, 11, 20, u'TSH B106']
[2, u'we', 10, 30, 11, 20, u'TSH B106']
[2, u'th', 10, 30, 11, 20, u'TSH B106']
[2, u'we', 19, 0, 22, 0, u'BSB 120']
[1, u'mo', 10, 30, 11, 20, u'DSB AB102']
[1, u'we', 10, 30, 11, 20, u'DSB AB102']
[1, u'th', 10, 30, 11, 20, u'DSB AB102']
[1, u'mo', 19, 0, 22, 0, u'KTH 109']
[2, u'tu', 13, 30, 14, 20, u'KTH 109']
[2, u'th', 12, 30, 14, 20, u'KTH 109']
[2, u'mo', 13, 30, 14, 20, u'KTH B123']
[2, u'we', 13, 30, 14, 20, u'KTH B123']
[2, u'th', 13, 30, 14, 20, u'KTH B123']
[2, u'th', 19, 0, 22, 0, u'TSH B106']
[1, u'mo', 15, 30, 16, 20, u'TSH B106']
[1, u'tu', 16, 30, 17, 20, u'TSH B106']
[1, u'th', 15, 30, 16, 20, u'TSH B106']
[2, u'tu', 12, 30, 13, 20, u'HSC 1A4']
[2, u'we', 12, 30, 13, 20, u'HSC 1A4']
[2, u'fr', 12, 30, 13, 20, u'HSC 1A4']
[1, u'we', 8, 30, 10, 20, u'IWC E201']
[2, u'mo', 11, 30, 12, 20, u'CNH 102']
[2, u'we', 11, 30, 12, 20, u'CNH 102']
[2, u'fr', 13, 30, 14, 20, u'CNH 102']
[1, u'tu', 12, 30, 13, 20, u'KTH B124']
[1, u'fr', 12, 30, 13, 20, u'KTH B124']
[2, u'tu', 10, 30, 11, 20, u'KTH B132']
[2, u'th', 9, 30, 10, 20, u'KTH B132']
[1, u'mo', 15, 30, 16, 20, u'MDCL 1309']
[1, u'tu', 16, 30, 17, 20, u'MDCL 1309']
[1, u'th', 15, 30, 16, 20, u'MDCL 1309']
[2, u'mo', 15, 30, 17, 20, u'IWC 224']
[2, u'th', 16, 30, 17, 20, u'IWC 224']
[2, u'mo', 14, 30, 15, 20, u'LRW 3017']
[2, u'we', 14, 30, 16, 20, u'LRW 3017']
[2, u'mo', 19, 0, 22, 0, u'UH 112']
[2, u'tu', 11, 30, 12, 20, u'KTH B102']
[2, u'th', 11, 30, 13, 20, u'KTH B102']
[1, u'mo', 14, 30, 16, 20, u'KTH B102']
[1, u'th', 15, 30, 16, 20, u'KTH B102']
[2, u'mo', 10, 30, 11, 20, u'BSB 104']
[2, u'we', 9, 30, 11, 20, u'BSB 104']
[2, u'mo', 12, 30, 14, 20, u'KTH B105']
[2, u'we', 13, 30, 14, 20, u'KTH B105']
[1, u'tu', 11, 30, 12, 20, u'KTH B135']
[1, u'th', 11, 30, 12, 20, u'KTH B135']
[1, u'fr', 11, 30, 12, 20, u'KTH B135']
[1, u'tu', 11, 30, 12, 20, u'JHE 376']
[1, u'th', 11, 30, 12, 20, u'JHE 376']
[1, u'fr', 11, 30, 12, 20, u'JHE 376']
[2, u'tu', 11, 30, 12, 20, u'ITB 137']
[2, u'th', 11, 30, 12, 20, u'ITB 137']
[2, u'fr', 11, 30, 12, 20, u'ITB 137']
[2, u'mo', 10, 30, 11, 20, u'JHE 376']
[2, u'we', 10, 30, 11, 20, u'JHE 376']
[2, u'th', 10, 30, 11, 20, u'JHE 376']
[2, u'mo', 9, 30, 10, 20, u'HSC 1A1']
[2, u'tu', 10, 30, 11, 20, u'HSC 1A1']
[2, u'th', 9, 30, 10, 20, u'HSC 1A1']
[2, u'mo', 13, 30, 14, 20, u'HH 109']
[2, u'we', 13, 30, 14, 20, u'HH 109']
[2, u'th', 13, 30, 14, 20, u'HH 109']
[1, u'tu', 11, 30, 12, 20, u'ABB 270']
[1, u'th', 11, 30, 12, 20, u'ABB 270']
[1, u'fr', 11, 30, 12, 20, u'ABB 270']
[2, u'tu', 11, 30, 12, 20, u'T13 105']
[2, u'th', 11, 30, 12, 20, u'T13 105']
[2, u'fr', 11, 30, 12, 20, u'T13 105']
[2, u'mo', 13, 30, 14, 20, u'HSC 1A1']
[2, u'we', 13, 30, 14, 20, u'HSC 1A1']
[2, u'th', 13, 30, 14, 20, u'HSC 1A1']
[1, u'mo', 11, 30, 12, 20, u'MDCL 1105']
[1, u'we', 11, 30, 12, 20, u'MDCL 1105']
[1, u'fr', 13, 30, 14, 20, u'MDCL 1105']
[1, u'mo', 13, 30, 14, 20, u'HSC 1A6']
[1, u'we', 13, 30, 14, 20, u'HSC 1A6']
[1, u'th', 13, 30, 14, 20, u'HSC 1A6']
[2, u'mo', 8, 30, 9, 20, u'BSB B135']
[2, u'we', 8, 30, 9, 20, u'BSB B135']
[2, u'fr', 10, 30, 11, 20, u'BSB B135']
[1, u'tu', 8, 30, 9, 20, u'MDCL 1105']
[1, u'th', 8, 30, 9, 20, u'MDCL 1105']
[1, u'fr', 8, 30, 9, 20, u'MDCL 1105']
[1, u'tu', 11, 30, 12, 20, u'JHE 264']
[1, u'th', 11, 30, 12, 20, u'JHE 264']
[1, u'fr', 11, 30, 12, 20, u'JHE 264']
[2, u'mo', 11, 30, 12, 20, u'ITB 137']
[2, u'we', 11, 30, 12, 20, u'ITB 137']
[2, u'fr', 13, 30, 14, 20, u'ITB 137']
[1, u'tu', 19, 0, 22, 0, u'T13 105']
[1, u'tu', 9, 30, 10, 20, u'KTH B132']
[1, u'we', 9, 30, 10, 20, u'KTH B132']
[1, u'fr', 9, 30, 10, 20, u'KTH B132']
[2, u'tu', 19, 0, 22, 0, u'ETB 228']
[3, u'mo', 8, 30, 9, 20, u'UH 112']
[3, u'we', 8, 30, 9, 20, u'UH 112']
[3, u'fr', 10, 30, 11, 20, u'UH 112']
[1, u'mo', 9, 30, 10, 20, u'T13 125']
[1, u'tu', 10, 30, 11, 20, u'T13 125']
[1, u'th', 9, 30, 10, 20, u'T13 125']
[2, u'mo', 11, 30, 12, 20, u'JHE A102']
[2, u'we', 11, 30, 12, 20, u'JHE A102']
[2, u'fr', 13, 30, 14, 20, u'JHE A102']
[3, u'mo', 8, 30, 9, 20, u'ABB 164']
[3, u'we', 8, 30, 9, 20, u'ABB 164']
[3, u'fr', 10, 30, 11, 20, u'ABB 164']
[3, u'mo', 8, 30, 9, 20, u'ABB 165']
[3, u'we', 8, 30, 9, 20, u'ABB 165']
[3, u'fr', 10, 30, 11, 20, u'ABB 165']
[2, u'mo', 10, 30, 11, 20, u'BSB 137']
[2, u'we', 10, 30, 11, 20, u'BSB 137']
[2, u'th', 10, 30, 11, 20, u'BSB 137']
[1, u'mo', 11, 30, 12, 20, u'T13 127']
[1, u'we', 11, 30, 12, 20, u'T13 127']
[1, u'fr', 13, 30, 14, 20, u'T13 127']
[2, u'tu', 9, 30, 10, 20, u'ABB 165']
[2, u'we', 9, 30, 10, 20, u'ABB 165']
[2, u'fr', 9, 30, 10, 20, u'ABB 165']
[1, u'mo', 10, 30, 11, 20, u'BSB 137']
[1, u'we', 10, 30, 11, 20, u'BSB 137']
[1, u'th', 10, 30, 11, 20, u'BSB 137']
[2, u'mo', 10, 30, 11, 20, u'BSB 138']
[2, u'we', 10, 30, 11, 20, u'BSB 138']
[2, u'th', 10, 30, 11, 20, u'BSB 138']
[1, u'we', 11, 30, 12, 20, u'MDCL 1305']
[1, u'fr', 13, 30, 14, 20, u'MDCL 1305']
[1, u'we', 14, 30, 15, 20, u'MDCL 1305']
[1, u'fr', 16, 30, 17, 20, u'MDCL 1305']
[1, u'we', 11, 30, 12, 20, u'BSB 147']
[1, u'fr', 13, 30, 14, 20, u'BSB 147']
[1, u'we', 8, 30, 9, 20, u'BSB 147']
[1, u'fr', 10, 30, 11, 20, u'BSB 147']
[2, u'mo', 13, 30, 14, 20, u'TSH 120']
[2, u'we', 13, 30, 14, 20, u'TSH 120']
[2, u'th', 13, 30, 14, 20, u'TSH 120']
[2, u'tu', 11, 30, 12, 20, u'MDCL 1305']
[2, u'th', 11, 30, 12, 20, u'MDCL 1305']
[2, u'fr', 11, 30, 12, 20, u'MDCL 1305']
[2, u'mo', 16, 30, 17, 20, u'BSB 147']
[2, u'we', 16, 30, 17, 20, u'BSB 147']
[2, u'th', 16, 30, 17, 20, u'BSB 147']
[2, u'mo', 12, 30, 13, 20, u'BSB 147']
[2, u'tu', 13, 30, 14, 20, u'BSB 147']
[2, u'th', 12, 30, 13, 20, u'BSB 147']
[1, u'mo', 9, 30, 10, 20, u'MDCL 1305']
[1, u'tu', 10, 30, 11, 20, u'MDCL 1305']
[1, u'th', 9, 30, 10, 20, u'MDCL 1305']
[1, u'mo', 12, 30, 13, 20, u'BSB 147']
[1, u'tu', 13, 30, 14, 20, u'BSB 147']
[1, u'th', 12, 30, 13, 20, u'BSB 147']
[1, u'mo', 15, 30, 16, 20, u'BSB 147']
[1, u'tu', 16, 30, 17, 20, u'BSB 147']
[1, u'th', 15, 30, 16, 20, u'BSB 147']
[2, u'mo', 9, 30, 10, 20, u'ABB 102']
[2, u'tu', 10, 30, 11, 20, u'ABB 102']
[2, u'th', 9, 30, 10, 20, u'ABB 102']
[1, u'mo', 9, 30, 10, 20, u'ABB 102']
[1, u'tu', 10, 30, 11, 20, u'ABB 102']
[1, u'th', 9, 30, 10, 20, u'ABB 102']
[1, u'tu', 12, 30, 13, 20, u'JHE 376']
[1, u'we', 12, 30, 13, 20, u'JHE 376']
[1, u'fr', 12, 30, 13, 20, u'JHE 376']
[2, u'tu', 12, 30, 13, 20, u'ABB 164']
[2, u'we', 12, 30, 13, 20, u'ABB 164']
[2, u'fr', 12, 30, 13, 20, u'ABB 164']
[1, u'fr', 13, 30, 14, 20, u'JHE A102']
[2, u'mo', 12, 30, 13, 20, u'BSB 138']
[2, u'th', 12, 30, 13, 20, u'BSB 138']
[1, u'tu', 12, 30, 13, 20, u'MDCL 1305']
[1, u'we', 12, 30, 13, 20, u'MDCL 1305']
[1, u'fr', 12, 30, 13, 20, u'MDCL 1305']
[2, u'tu', 12, 30, 13, 20, u'MDCL 1305']
[2, u'we', 12, 30, 13, 20, u'MDCL 1305']
[2, u'fr', 12, 30, 13, 20, u'MDCL 1305']
[1, u'tu', 8, 30, 9, 20, u'ABB 102']
[1, u'th', 8, 30, 9, 20, u'ABB 102']
[1, u'fr', 8, 30, 9, 20, u'ABB 102']
[2, u'tu', 8, 30, 9, 20, u'MDCL 1309']
[2, u'th', 8, 30, 9, 20, u'MDCL 1309']
[2, u'fr', 8, 30, 9, 20, u'MDCL 1309']
[1, u'tu', 9, 30, 10, 20, u'HSC 1A1']
[1, u'we', 9, 30, 10, 20, u'HSC 1A1']
[1, u'fr', 9, 30, 10, 20, u'HSC 1A1']
[2, u'tu', 14, 30, 16, 20, u'BSB 108']
[2, u'fr', 14, 30, 15, 20, u'BSB 108']
[2, u'mo', 9, 30, 10, 20, u'MDCL 1309']
[2, u'tu', 10, 30, 11, 20, u'MDCL 1309']
[2, u'th', 9, 30, 10, 20, u'MDCL 1309']
[2, u'mo', 11, 30, 12, 20, u'DSB AB102']
[2, u'we', 11, 30, 12, 20, u'DSB AB102']
[2, u'fr', 13, 30, 14, 20, u'DSB AB102']
[1, u'tu', 9, 30, 10, 20, u'HH 104']
[1, u'we', 9, 30, 10, 20, u'HH 104']
[1, u'fr', 9, 30, 10, 20, u'HH 104']
[1, u'mo', 14, 30, 15, 20, u'HH 305']
[1, u'tu', 12, 30, 13, 20, u'ITB 137']
[1, u'we', 12, 30, 13, 20, u'ITB 137']
[1, u'fr', 12, 30, 13, 20, u'ITB 137']
[1, u'mo', 11, 30, 13, 20, u'HH 104']
[1, u'we', 11, 30, 12, 20, u'HH 104']
[2, u'tu', 14, 30, 17, 20, u'CNH 223']
[2, u'mo', 14, 30, 15, 20, u'BSB 105']
[2, u'we', 14, 30, 16, 20, u'BSB 105']
[2, u'mo', 8, 30, 9, 20, u'JHE 210']
[2, u'we', 8, 30, 9, 20, u'JHE 210']
[2, u'fr', 10, 30, 11, 20, u'JHE 210']
[1, u'tu', 14, 30, 16, 20, u'CNH 103']
[1, u'fr', 14, 30, 15, 20, u'KTH B132']
[1, u'mo', 15, 30, 17, 20, u'ABB 271']
[1, u'we', 16, 30, 17, 20, u'ABB 271']
[2, u'mo', 10, 30, 11, 20, u'ABB 162']
[2, u'we', 10, 30, 11, 20, u'ABB 162']
[2, u'th', 10, 30, 11, 20, u'ABB 162']
[2, u'mo', 12, 30, 13, 20, u'ABB 270']
[2, u'tu', 13, 30, 14, 20, u'ABB 270']
[2, u'th', 12, 30, 13, 20, u'ABB 270']
[2, u'mo', 19, 0, 22, 0, u'LRW 1056']
[1, u'mo', 13, 30, 14, 20, u'ABB 102']
[1, u'we', 13, 30, 14, 20, u'ABB 102']
[1, u'th', 13, 30, 14, 20, u'ABB 102']
[1, u'mo', 10, 30, 11, 20, u'UH 112']
[1, u'we', 10, 30, 11, 20, u'UH 112']
[1, u'th', 10, 30, 11, 20, u'UH 112']
[2, u'we', 15, 30, 16, 20, u'BSB B135']
[2, u'tu', 9, 30, 10, 20, u'BSB 119']
[2, u'we', 9, 30, 10, 20, u'BSB 119']
[2, u'fr', 9, 30, 10, 20, u'BSB 119']
[2, u'tu', 11, 30, 13, 20, u'KTH 109']
[2, u'th', 11, 30, 12, 20, u'KTH 109']
[1, u'mo', 13, 30, 14, 20, u'ABB 162']
[1, u'we', 13, 30, 14, 20, u'ABB 162']
[1, u'th', 13, 30, 14, 20, u'ABB 162']
[1, u'tu', 9, 30, 10, 20, u'BSB 104']
[1, u'we', 9, 30, 10, 20, u'BSB 104']
[1, u'fr', 9, 30, 10, 20, u'BSB 104']
[3, u'mo', 10, 30, 11, 20, u'CNH B107']
[3, u'we', 9, 30, 10, 20, u'HH 302']
[3, u'mo', 16, 30, 17, 20, u'ITB AB102']
[3, u'fr', 11, 30, 12, 20, u'ABB 102']
[3, u'tu', 13, 30, 14, 30, u'Six Nations PolyTech Campus']
[1, u'mo', 8, 30, 11, 20, u'GS 102']
